artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
suicideboys,0.7733399999999999,0.6531199999999999,3.62,-6.285460000000003,0.6,0.169582,0.18440820000000002,0.022206341599999995,0.23145999999999994,0.32344200000000006,117.90182000000003,143295.88,3.94
21 savage,0.8045625000000002,0.5475625,5.083333333333333,-7.031583333333334,0.4583333333333333,0.27280625000000003,0.10749383333333339,0.025409787916666666,0.19026875000000007,0.33586041666666655,133.01595833333332,216370.14583333334,4.0
asap mob,0.7708666666666664,0.6188888888888888,5.977777777777778,-6.404044444444444,0.5111111111111111,0.2203088888888889,0.13131977777777776,0.00919955955555556,0.2263288888888889,0.4163022222222222,129.78335555555554,202495.51111111112,4.0
aaron may,0.7908125,0.49462500000000004,7.0,-7.55525,0.3125,0.2098875,0.32094374999999997,0.0011572425000000001,0.1377625,0.5808125,121.7119375,159181.375,3.875
brockhampton,0.6856818181818181,0.6128636363636363,4.886363636363637,-7.027454545454545,0.5909090909090909,0.15687727272727273,0.2500415000000002,0.0028627029545454552,0.23556136363636365,0.5019886363636364,109.68663636363637,222335.81818181818,3.977272727272727
carti nudy pierre,0.7523437499999998,0.63846875,4.78125,-6.26840625,0.46875,0.20781875000000005,0.13544978124999998,5.374187500000001e-05,0.269190625,0.3930937500000001,133.99359375,189942.65625,4.0
daft punk,0.7153953488372093,0.6629534883720933,5.8604651162790695,-8.976534883720928,0.5116279069767442,0.1203581395348837,0.18383358697674418,0.48195130279069764,0.16864651162790698,0.5138186046511628,120.62406976744188,302866.6046511628,4.0
drake,0.7059528301886793,0.5541698113207546,4.849056603773585,-7.434471698113209,0.5377358490566038,0.20706509433962253,0.1992112735849057,0.0069738121698113215,0.17685943396226417,0.3853132075471698,120.48395283018866,236602.33018867925,3.9622641509433962
freddie gibbs,0.6127600000000001,0.69062,5.06,-7.206880000000001,0.58,0.27838399999999996,0.24256726799999995,0.005332884600000001,0.30320800000000003,0.5591200000000001,111.57893999999996,204847.02,3.96
frank ocean,0.577,0.44929361702127657,4.787234042553192,-9.606148936170214,0.5319148936170213,0.13790425531914896,0.49351191489361707,0.059211335319148926,0.21078297872340426,0.3784829787234043,112.6526170212766,240847.55319148937,3.7872340425531914
future,0.7793800000000002,0.5594600000000001,4.3,-6.854219999999999,0.72,0.2043339999999999,0.06093260000000001,0.0175254684,0.172094,0.31087400000000004,133.15419999999995,209274.58,3.96
griselda,0.5618260869565217,0.7241739130434782,4.956521739130435,-7.043,0.6304347826086957,0.3164869565217391,0.27230534782608695,9.08521739130435e-05,0.2399978260869565,0.5503260869565217,108.97797826086959,218179.36956521738,3.9782608695652173
gunna,0.8126199999999999,0.5904200000000001,4.86,-7.418579999999999,0.38,0.209548,0.1527098,0.0001480672,0.158446,0.4915200000000002,123.89913999999995,187999.38,3.86
jack harlow,0.8130303030303031,0.6016666666666665,5.742424242424242,-6.989878787878789,0.48484848484848486,0.18379848484848482,0.14265747575757573,0.0020712698484848485,0.1467469696969697,0.5590454545454543,123.25545454545455,176475.0,4.015151515151516
j cole,0.7259166666666665,0.5805208333333333,5.5625,-8.345020833333333,0.5416666666666666,0.26152708333333324,0.3009639583333332,0.0017866718749999998,0.20484583333333337,0.44402708333333313,110.54358333333336,239977.5625,3.875
kendrick,0.6864634146341464,0.6599268292682927,5.048780487804878,-6.65380487804878,0.6341463414634146,0.2916341463414634,0.17431148780487804,0.0005392363414634145,0.2374243902439024,0.446268292682927,123.88641463414636,257003.78048780488,4.0
kid cudi,0.6452727272727274,0.679340909090909,5.613636363636363,-6.583272727272728,0.4090909090909091,0.08268636363636364,0.2509274999999999,0.10250338590909087,0.21376590909090912,0.42194090909090903,126.98072727272725,244711.06818181818,3.977272727272727
kota the friend,0.7343000000000001,0.6230399999999999,5.62,-7.34282,0.64,0.29939399999999994,0.44519400000000003,8.48e-06,0.15854200000000002,0.5418799999999999,112.50034000000004,187244.38,3.96
lil baby,0.7656960784313726,0.5784803921568625,4.852941176470588,-6.882735294117646,0.49019607843137253,0.2595617647058825,0.0920016078431373,0.0008266342156862746,0.14662352941176474,0.37212745098039207,128.40050980392155,191665.8431372549,4.0
