artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
suicideboys,0.80458064516129,0.6164838709677419,4.806451612903226,-6.67983870967742,0.7096774193548387,0.16872903225806452,0.10987387096774194,0.034004009032258066,0.1475709677419355,0.30405806451612905,118.18961290322584,157252.4193548387,4.0
21 savage,0.8326086956521739,0.5145652173913042,4.6521739130434785,-7.781217391304347,0.4782608695652174,0.3184347826086956,0.1638086956521739,0.05438416999999999,0.18073043478260867,0.3736826086956522,135.00021739130435,213319.4347826087,4.0
asap mob,0.709304347826087,0.6390869565217391,4.608695652173913,-6.649608695652176,0.5652173913043478,0.23269130434782603,0.17509826086956523,0.0035589847826086956,0.2022217391304348,0.4414869565217392,117.80852173913044,218057.04347826086,3.9565217391304346
aaron may,0.8246666666666668,0.4375,6.333333333333333,-7.432166666666667,0.16666666666666666,0.16141666666666668,0.30533333333333335,7.3783333333333336e-06,0.1295,0.5083333333333333,112.69016666666666,191307.5,4.0
brockhampton,0.7193333333333333,0.6278666666666667,4.866666666666666,-6.782066666666667,0.3333333333333333,0.17876,0.31862,0.0024979053333333326,0.19957333333333338,0.5970666666666665,111.51413333333333,252882.26666666666,4.0
carti nudy pierre,0.7754857142857143,0.6348285714285715,4.571428571428571,-6.498914285714286,0.4857142857142857,0.23681142857142856,0.14686314285714286,8.764857142857142e-05,0.21246285714285715,0.40405714285714284,131.5946571428571,192402.7142857143,4.0285714285714285
daft punk,0.7762,0.6434,8.8,-10.5822,0.0,0.053139999999999986,0.21753999999999998,0.45782821400000007,0.08065999999999998,0.5115999999999999,106.60119999999999,303544.0,4.0
drake,0.6901481481481483,0.5045407407407408,5.037037037037037,-8.305222222222223,0.6296296296296297,0.26748888888888883,0.27859814814814815,0.03486758925925926,0.17180370370370374,0.325562962962963,118.08848148148144,256968.07407407407,3.962962962962963
freddie gibbs,0.5751764705882353,0.6608235294117647,5.117647058823529,-8.726176470588236,0.6470588235294118,0.2684705882352941,0.34730961176470593,0.0013397758823529412,0.30340588235294114,0.5596294117647058,93.86117647058825,210702.0,4.0
frank ocean,0.6782000000000001,0.46099999999999997,6.2,-7.972200000000001,0.6,0.12925999999999999,0.50562,0.066298684,0.18775999999999998,0.4138,111.8759,223169.2,4.0
future,0.7740612244897959,0.5615306122448981,4.224489795918367,-7.129530612244899,0.5714285714285714,0.23834285714285708,0.15137883673469388,0.020003957551020406,0.16697959183673475,0.4045428571428571,133.3968775510204,218627.26530612246,4.0
griselda,0.5568333333333334,0.7326666666666667,5.62962962962963,-6.894703703703704,0.5555555555555556,0.3110111111111112,0.3147112962962963,0.0019903775925925924,0.2361407407407407,0.5191055555555556,102.65590740740738,220279.75925925927,4.018518518518518
gunna,0.8434657534246576,0.5311232876712331,4.6438356164383565,-8.283876712328766,0.4383561643835616,0.23793013698630142,0.1908482191780822,0.002164532328767123,0.15447534246575345,0.43823698630137,128.85189041095893,189344.09589041097,3.958904109589041
jack harlow,0.8127391304347825,0.5530869565217392,5.304347826086956,-7.260086956521739,0.6521739130434783,0.16077391304347827,0.14945347826086958,0.00030924130434782605,0.11999565217391304,0.5183913043478261,105.78265217391305,184882.47826086957,4.0
j cole,0.6824482758620687,0.6103103448275862,5.206896551724138,-8.179344827586206,0.5862068965517241,0.2831620689655172,0.24910862068965514,0.0030184234482758623,0.24119310344827594,0.3639379310344827,125.10224137931033,251748.62068965516,3.9655172413793105
kendrick,0.6672222222222222,0.6602222222222224,4.777777777777778,-7.1295925925925925,0.5925925925925926,0.30255185185185174,0.3082111111111111,0.00015141629629629626,0.31372592592592596,0.4795185185185184,115.62622222222224,287928.51851851854,4.074074074074074
kid cudi,0.6744615384615386,0.5981538461538461,6.153846153846154,-7.080384615384616,0.38461538461538464,0.09196923076923078,0.3816153846153847,0.12065962230769231,0.2476923076923077,0.5269230769230769,129.54038461538462,232590.61538461538,4.0
kota the friend,0.7416666666666667,0.5915333333333332,5.466666666666667,-8.154666666666666,0.6,0.24814666666666668,0.36801333333333336,3.152e-05,0.14787999999999998,0.4844,105.47593333333333,174542.66666666666,3.933333333333333
lil baby,0.8091333333333333,0.5562666666666668,4.333333333333333,-7.062666666666668,0.3333333333333333,0.23883333333333331,0.08621333333333334,1.2666666666666667e-05,0.16471999999999998,0.3874000000000001,122.01880000000001,187973.26666666666,4.0
mac miller,0.6195365853658538,0.6722439024390244,5.2926829268292686,-6.952146341463414,0.4878048780487805,0.201709756097561,0.30733560975609764,0.010834209268292684,0.2456951219512196,0.4150073170731706,127.46568292682922,241842.53658536586,4.0
michigan boys,0.7328387096774194,0.624,4.580645161290323,-7.505548387096774,0.6451612903225806,0.335741935483871,0.13323712903225804,4.4354838709677415e-07,0.17320645161290318,0.44791935483870976,116.33509677419354,172225.51612903227,4.193548387096774
maxo kream,0.7952500000000001,0.6216666666666666,3.5833333333333335,-7.589916666666667,0.6666666666666666,0.19640000000000002,0.30344999999999994,0.001689625,0.19619166666666665,0.533475,118.11308333333334,201157.91666666666,4.083333333333333
nav ,0.7818484848484849,0.5472727272727275,5.7272727272727275,-7.390818181818183,0.42424242424242425,0.17853636363636363,0.22407818181818184,0.0018648521212121212,0.16822121212121213,0.3662727272727273,134.8222424242425,201250.48484848486,4.0
travis scott,0.7004516129032259,0.6196774193548387,4.903225806451613,-5.466225806451613,0.3225806451612903,0.10912903225806453,0.17660096774193546,0.00022333064516129032,0.1820032258064516,0.32689354838709683,126.15606451612902,244357.93548387097,4.0
uzi,0.7685263157894735,0.6189473684210526,5.578947368421052,-6.482368421052629,0.3684210526315789,0.18568421052631578,0.1888073684210526,9.273684210526315e-07,0.17491052631578943,0.5482631578947368,131.60226315789473,219613.8947368421,4.0
wiz and currency,0.7792941176470589,0.6292352941176471,6.352941176470588,-6.747764705882353,0.6470588235294118,0.12505882352941178,0.20587647058823527,0.00041989529411764706,0.23197647058823528,0.43941176470588234,124.65935294117646,213516.88235294117,4.0
kanye,0.6102051282051283,0.653948717948718,5.948717948717949,-5.829179487179487,0.5128205128205128,0.19092051282051287,0.16503871794871797,4.150974358974359e-05,0.27530256410256415,0.4097717948717949,110.40541025641025,251182.53846153847,3.871794871794872
